Date of occurrence,Occurrence severity,Occurrence with ship(s),Deviation,Name of ship,IMO number,Ship / craft type,Livest lost - Total,People injured - Total,Pollution
02/12/2014,Very serious,"Collision - With other ship,Collision - With other ship",,"NIKA,FIDES",9030852,"Fishing vessel - Trawler - Stern,Cargo ship - Solid Cargo - Ro-Ro Cargo",0,0,
27/11/2014,Very serious,"Collision - With other ship,Collision - With other ship",,"Star Kvarven,Lulanyu",9396153,"Cargo ship - Solid Cargo - General Cargo,Fishing vessel - Trawler - Stern",8,0,YES
12/11/2014,Very serious,Grounding/stranding - Drift,,NOSSAN,8814536,Cargo ship - Solid Cargo - General Cargo,0,0,
29/10/2014,Very serious,"Flooding/Foundering - Flooding - Massive,Grounding/stranding - Power",,KERTU,9125683,Cargo ship - Solid Cargo - General Cargo,0,0,YES
24/10/2014,Very serious,"Collision - With multiple ships,Collision - Ship not underway,Collision - Ship not underway",,"IV 1,Blue One,ALIOS",7902636,"Cargo ship - Solid Cargo - Ro-Ro Cargo,Passenger ship - Only passenger,Recreational craft",0,0,
03/10/2014,Very serious,Damage / loss of equipment,,LAMNALCO LEOPARD,9537422,Service ship - Tug (Towing/Pushing),1,0,
03/10/2014,Very serious,Damage / loss of equipment,,LAMNALCO LEOPARD,9537422,Service ship - Tug (Towing/Pushing),1,0,
10/09/2014,Very serious,Damage / loss of equipment,,DRENNEC,9359703,Fishing vessel - Seiner - Tuna purse seiners,1,0,
06/09/2014,Very serious,Grounding/stranding - Power,,SAMSKIP AKRAFELL,9271963,Cargo ship - Solid Cargo - General Cargo,0,0,
13/08/2014,Very serious,Flooding/Foundering - Foundering,,GPS BATTLER,8738328,Service ship - Tug (Towing/Pushing),1,0,
04/08/2014,Very serious,"Flooding/Foundering - Foundering,Capsizing/Listing - Capsizing,Loss of control - Loss of directional control",,"KRUZENSHTERN,DIVER MASTER",6822979,"Service ship - Other,Service ship - Tug (Towing/Pushing)",0,0,
28/07/2014,Very serious,"Collision - With other ship,Collision - With other ship,Flooding/Foundering - Foundering",,"JAMEELA STAR,BETTY",6823131,"Cargo ship - Liquid Cargo - Oil tanker - Product carrier,Service ship - Other",0,0,
18/07/2014,Very serious,"Collision - With other ship,Collision - With other ship",,"BOA HEIMDAL,No Name Given",9551909,"Recreational craft - Motorboat,Service ship - Tug (Towing/Pushing)",1,0,
10/07/2014,Very serious,"Collision - With other ship,Collision - With other ship",,"INGER MARIE,RIG",8801137,"Fishing vessel - Trawler - Stern,Cargo ship - Solid Cargo - General Cargo",1,0,YES
08/06/2014,Very serious,"Collision - With other ship,Collision - With other ship",,"ORCA,SHOREWAY",9420344,"Service ship - Dredger,Recreational craft - Sailboat (aux. motor)",1,0,
26/04/2014,Very serious,Fire/Explosion - Explosion,,NAKHODKA,7807031,Cargo ship - Solid Cargo - General Cargo,1,1,
24/04/2014,Very serious,"Flooding/Foundering - Flooding - Massive,Flooding/Foundering - Foundering,Capsizing/Listing - Capsizing",,AGIA MARINA,8975122,Cargo ship - Solid Cargo - General Cargo,3,0,
22/04/2014,Very serious,"Loss of control - Loss of propulsion power,Grounding/stranding - Drift,Flooding/Foundering - Foundering",,Chanko,5005457,Service ship - Tug (Towing/Pushing),0,0,YES
19/04/2014,Very serious,"Collision - With other ship,Collision - With other ship",,"Viking Grace,Sunni",9606900,"Passenger ship - Passenger and Ro-Ro cargo,Passenger ship - Only passenger",0,3,
17/04/2014,Very serious,"Capsizing/Listing - Capsizing,Flooding/Foundering - Foundering",,MAR NOSSO,7218101,Fishing vessel - Trawler - Stern,5,7,YES
01/04/2014,Very serious,"Collision - With other ship,Collision - With other ship",,"MAR DE MARIN,BALTIC BREEZE",8312590,"Cargo ship - Solid Cargo - Ro-Ro Cargo,Fishing vessel - Liner",5,0,YES
20/03/2014,Very serious,Damage / loss of equipment,,BRITES,7107431,Fishing vessel - Trawler - Stern,1,0,
10/03/2014,Very serious,"Flooding/Foundering - Flooding - Massive,Grounding/stranding - Power",,SANTA ANA,7813303,Fishing vessel - Trawler,8,1,YES
08/03/2014,Very serious,Grounding/stranding - Drift,,YUSUF CEPNIOGLU,9119646,Cargo ship - Solid Cargo - Container Ship,0,0,YES
01/03/2014,Very serious,"Fire/Explosion - Explosion,Damage / loss of equipment",,ATLANTIC ACTION,8902319,Cargo ship - Solid Cargo - Ro-Ro Cargo,1,0,
08/02/2014,Very serious,"Capsizing/Listing - Listing,Loss of control - Loss of electrical power,Flooding/Foundering - Foundering",,ELLAND,8111788,Cargo ship - Solid Cargo - General Cargo,0,0,YES
05/02/2014,Very serious,"Grounding/stranding - Drift,Loss of control - Loss of electrical power,Loss of control - Loss of propulsion power,Loss of control - Loss of propulsion power",,LUNO,9072329,Cargo ship - Solid Cargo - General Cargo,0,0,YES
02/01/2014,Very serious,Grounding/stranding - Power,,GOTLAND,9223796,Passenger ship - Passenger and Ro-Ro cargo - International,0,0,
26/12/2013,Very serious,Damage / loss of equipment,,EVER URBAN,9169160,Cargo ship - Solid Cargo - Container Ship,1,0,
11/12/2013,Very serious,Contact - Shore object,,NOUR-M,7226627,Cargo ship - Solid Cargo - General Cargo,0,0,YES
02/12/2013,Very serious,Damage / loss of equipment,,LOS ANGELES,9588483,Cargo ship - Solid Cargo - Bulk Carrier,1,0,
13/11/2013,Very serious,Damage / loss of equipment,,TARSUS,9487213,Cargo ship - Solid Cargo - Bulk Carrier,1,0,
11/11/2013,Very serious,Fire/Explosion - Fire,,GODAFOSS,9086796,Cargo ship - Solid Cargo - Container Ship,0,0,YES
02/11/2013,Very serious,Grounding/stranding - Power,,STELLA,6727296,Cargo ship - Solid Cargo - General Cargo,1,0,YES
